sea_level,time
millimeters,UTC
1887,1991-01-12T12:00:00Z
1880,1991-01-13T12:00:00Z
1884,1991-01-14T12:00:00Z
1875,1991-01-15T12:00:00Z
1873,1991-01-16T12:00:00Z
1871,1991-01-17T12:00:00Z
1843,1991-01-18T12:00:00Z
1830,1991-01-19T12:00:00Z
1846,1991-01-20T12:00:00Z
1891,1991-01-21T12:00:00Z
1919,1991-01-22T12:00:00Z
1930,1991-01-23T12:00:00Z
1936,1991-01-24T12:00:00Z
1898,1991-01-25T12:00:00Z
1870,1991-01-26T12:00:00Z
1857,1991-01-27T12:00:00Z
1851,1991-01-28T12:00:00Z
1881,1991-01-29T12:00:00Z
1893,1991-01-30T12:00:00Z
1851,1991-01-31T12:00:00Z
NaN,1991-02-01T12:00:00Z
NaN,1991-02-02T12:00:00Z
NaN,1991-02-03T12:00:00Z
NaN,1991-02-04T12:00:00Z
NaN,1991-02-05T12:00:00Z
1880,1991-02-06T12:00:00Z
1847,1991-02-07T12:00:00Z
1828,1991-02-08T12:00:00Z
1807,1991-02-09T12:00:00Z
1804,1991-02-10T12:00:00Z
1793,1991-02-11T12:00:00Z
1796,1991-02-12T12:00:00Z
1826,1991-02-13T12:00:00Z
1858,1991-02-14T12:00:00Z
NaN,1991-02-15T12:00:00Z
NaN,1991-02-16T12:00:00Z
NaN,1991-02-17T12:00:00Z
1884,1991-02-18T12:00:00Z
1888,1991-02-19T12:00:00Z
1906,1991-02-20T12:00:00Z
1890,1991-02-21T12:00:00Z
1832,1991-02-22T12:00:00Z
1813,1991-02-23T12:00:00Z
1816,1991-02-24T12:00:00Z
1823,1991-02-25T12:00:00Z
1830,1991-02-26T12:00:00Z
1861,1991-02-27T12:00:00Z
1872,1991-02-28T12:00:00Z
1877,1991-03-01T12:00:00Z
1873,1991-03-02T12:00:00Z
1860,1991-03-03T12:00:00Z
1855,1991-03-04T12:00:00Z
1868,1991-03-05T12:00:00Z
1869,1991-03-06T12:00:00Z
1857,1991-03-07T12:00:00Z
1862,1991-03-08T12:00:00Z
1856,1991-03-09T12:00:00Z
1863,1991-03-10T12:00:00Z
1875,1991-03-11T12:00:00Z
1885,1991-03-12T12:00:00Z
1890,1991-03-13T12:00:00Z
1905,1991-03-14T12:00:00Z
1916,1991-03-15T12:00:00Z
1904,1991-03-16T12:00:00Z
1908,1991-03-17T12:00:00Z
1917,1991-03-18T12:00:00Z
1926,1991-03-19T12:00:00Z
1916,1991-03-20T12:00:00Z
1915,1991-03-21T12:00:00Z
1939,1991-03-22T12:00:00Z
1934,1991-03-23T12:00:00Z
1906,1991-03-24T12:00:00Z
1916,1991-03-25T12:00:00Z
1934,1991-03-26T12:00:00Z
1941,1991-03-27T12:00:00Z
1949,1991-03-28T12:00:00Z
1946,1991-03-29T12:00:00Z
1933,1991-03-30T12:00:00Z
1931,1991-03-31T12:00:00Z
1933,1991-04-01T12:00:00Z
1929,1991-04-02T12:00:00Z
1922,1991-04-03T12:00:00Z
1911,1991-04-04T12:00:00Z
1908,1991-04-05T12:00:00Z
1907,1991-04-06T12:00:00Z
1900,1991-04-07T12:00:00Z
1887,1991-04-08T12:00:00Z
1897,1991-04-09T12:00:00Z
1924,1991-04-10T12:00:00Z
1933,1991-04-11T12:00:00Z
1936,1991-04-12T12:00:00Z
1942,1991-04-13T12:00:00Z
1944,1991-04-14T12:00:00Z
1926,1991-04-15T12:00:00Z
1930,1991-04-16T12:00:00Z
1934,1991-04-17T12:00:00Z
1909,1991-04-18T12:00:00Z
1903,1991-04-19T12:00:00Z
1902,1991-04-20T12:00:00Z
1898,1991-04-21T12:00:00Z
1900,1991-04-22T12:00:00Z
1899,1991-04-23T12:00:00Z
1895,1991-04-24T12:00:00Z
1875,1991-04-25T12:00:00Z
1879,1991-04-26T12:00:00Z
